scope,endpoint,task,gen_range,gen,model,kind,metric,higher_better,value,sd,n_test,pos_rate,resolvable_gap_95,g1_fire_rate,g1_MCC,flag,source
확장,Tox21,NR-AhR,G1~G3,G3,ADMET-AI,누수 기준선,AUROC,True,0.9353,,1268,0.1806,0.0508,,,★누수 의심(TDC 전체 사전학습),experiment_gen_expansion_g1g3/results/admetai_metrics.json
확장,Tox21,NR-Aromatase,G1~G3,G1,구조알림 (BRENK+NIH + Benigni-Bossa),우리 학습(규칙),AUROC,True,,,1051,0.0904,0.0773,0.275,-0.0009,누수 없음(학습 없음),experiment_gen_expansion_g1g3/results/g1_summary.csv
확장,Tox21,NR-Aromatase,G1~G3,G2,물리화학 서술자 + XGBoost,우리 학습,AUROC,True,0.8027,0.0095,1051,0.0904,0.0773,,,누수 0(실측),experiment_gen_expansion_g1g3/results/expansion_metrics.json
확장,Tox21,NR-Aromatase,G1~G3,G2,물리화학 서술자 + RandomForest,우리 학습,AUROC,True,0.7508,0.0059,1051,0.0904,0.0773,,,누수 0(실측),experiment_gen_expansion_g1g3/results/expansion_metrics.json
확장,Tox21,NR-Aromatase,G1~G3,G2,ECFP4 지문 + XGBoost,우리 학습,AUROC,True,0.741,0.0082,1051,0.0904,0.0773,,,누수 0(실측),experiment_gen_expansion_g1g3/results/expansion_metrics.json
확장,Tox21,NR-Aromatase,G1~G3,G3,chemprop D-MPNN (정직),우리 학습,AUROC,True,0.7065,0.0068,1051,0.0904,0.0773,,,누수 0(train만 학습),experiment_gen_expansion_g1g3/results/expansion_metrics.json
확장,Tox21,NR-Aromatase,G1~G3,G3,ADMET-AI,누수 기준선,AUROC,True,0.9138,,1051,0.0904,0.0773,,,★누수 의심(TDC 전체 사전학습),experiment_gen_expansion_g1g3/results/admetai_metrics.json
확장,Tox21,NR-ER,G1~G3,G1,구조알림 (BRENK+NIH + Benigni-Bossa),우리 학습(규칙),AUROC,True,,,1152,0.1727,0.0544,0.2856,-0.0144,누수 없음(학습 없음),experiment_gen_expansion_g1g3/results/g1_summary.csv
확장,Tox21,NR-ER,G1~G3,G2,물리화학 서술자 + XGBoost,우리 학습,AUROC,True,0.7531,0.0044,1152,0.1727,0.0544,,,누수 0(실측),experiment_gen_expansion_g1g3/results/expansion_metrics.json
확장,Tox21,NR-ER,G1~G3,G2,물리화학 서술자 + RandomForest,우리 학습,AUROC,True,0.7525,0.0017,1152,0.1727,0.0544,,,누수 0(실측),experiment_gen_expansion_g1g3/results/expansion_metrics.json
확장,Tox21,NR-ER,G1~G3,G2,ECFP4 지문 + XGBoost,우리 학습,AUROC,True,0.6871,0.0044,1152,0.1727,0.0544,,,누수 0(실측),experiment_gen_expansion_g1g3/results/expansion_metrics.json
확장,Tox21,NR-ER,G1~G3,G3,chemprop D-MPNN (정직),우리 학습,AUROC,True,0.7101,0.0038,1152,0.1727,0.0544,,,누수 0(train만 학습),experiment_gen_expansion_g1g3/results/expansion_metrics.json
확장,Tox21,NR-ER,G1~G3,G3,ADMET-AI,누수 기준선,AUROC,True,0.8237,,1152,0.1727,0.0544,,,★누수 의심(TDC 전체 사전학습),experiment_gen_expansion_g1g3/results/admetai_metrics.json
확장,Tox21,NR-ER-LBD,G1~G3,G1,구조알림 (BRENK+NIH + Benigni-Bossa),우리 학습(규칙),AUROC,True,,,1335,0.0682,0.0786,0.2891,-0.0283,누수 없음(학습 없음),experiment_gen_expansion_g1g3/results/g1_summary.csv
확장,Tox21,NR-ER-LBD,G1~G3,G2,물리화학 서술자 + XGBoost,우리 학습,AUROC,True,0.8414,0.002,1335,0.0682,0.0786,,,누수 0(실측),experiment_gen_expansion_g1g3/results/expansion_metrics.json
확장,Tox21,NR-ER-LBD,G1~G3,G2,물리화학 서술자 + RandomForest,우리 학습,AUROC,True,0.8234,0.0063,1335,0.0682,0.0786,,,누수 0(실측),experiment_gen_expansion_g1g3/results/expansion_metrics.json
확장,Tox21,NR-ER-LBD,G1~G3,G2,ECFP4 지문 + XGBoost,우리 학습,AUROC,True,0.7611,0.0027,1335,0.0682,0.0786,,,누수 0(실측),experiment_gen_expansion_g1g3/results/expansion_metrics.json
확장,Tox21,NR-ER-LBD,G1~G3,G3,chemprop D-MPNN (정직),우리 학습,AUROC,True,0.8084,0.0019,1335,0.0682,0.0786,,,누수 0(train만 학습),experiment_gen_expansion_g1g3/results/expansion_metrics.json
확장,Tox21,NR-ER-LBD,G1~G3,G3,ADMET-AI,누수 기준선,AUROC,True,0.909,,1335,0.0682,0.0786,,,★누수 의심(TDC 전체 사전학습),experiment_gen_expansion_g1g3/results/admetai_metrics.json
확장,Tox21,NR-PPAR-gamma,G1~G3,G1,구조알림 (BRENK+NIH + Benigni-Bossa),우리 학습(규칙),AUROC,True,,,1209,0.038,0.1098,0.2878,0.0073,누수 없음(학습 없음),experiment_gen_expansion_g1g3/results/g1_summary.csv
확장,Tox21,NR-PPAR-gamma,G1~G3,G2,물리화학 서술자 + XGBoost,우리 학습,AUROC,True,0.8057,0.0049,1209,0.038,0.1098,,,누수 0(실측),experiment_gen_expansion_g1g3/results/expansion_metrics.json
확장,Tox21,NR-PPAR-gamma,G1~G3,G2,물리화학 서술자 + RandomForest,우리 학습,AUROC,True,0.8362,0.0078,1209,0.038,0.1098,,,누수 0(실측),experiment_gen_expansion_g1g3/results/expansion_metrics.json
확장,Tox21,NR-PPAR-gamma,G1~G3,G2,ECFP4 지문 + XGBoost,우리 학습,AUROC,True,0.7212,0.0069,1209,0.038,0.1098,,,누수 0(실측),experiment_gen_expansion_g1g3/results/expansion_metrics.json
확장,Tox21,NR-PPAR-gamma,G1~G3,G3,chemprop D-MPNN (정직),우리 학습,AUROC,True,0.7287,0.0102,1209,0.038,0.1098,,,누수 0(train만 학습),experiment_gen_expansion_g1g3/results/expansion_metrics.json
확장,Tox21,NR-PPAR-gamma,G1~G3,G3,ADMET-AI,누수 기준선,AUROC,True,0.9314,,1209,0.038,0.1098,,,★누수 의심(TDC 전체 사전학습),experiment_gen_expansion_g1g3/results/admetai_metrics.json
확장,Tox21,SR-ARE,G1~G3,G1,구조알림 (BRENK+NIH + Benigni-Bossa),우리 학습(규칙),AUROC,True,,,1056,0.2083,0.0523,0.2794,0.0496,누수 없음(학습 없음),experiment_gen_expansion_g1g3/results/g1_summary.csv
확장,Tox21,SR-ARE,G1~G3,G2,물리화학 서술자 + XGBoost,우리 학습,AUROC,True,0.7949,0.0048,1056,0.2083,0.0523,,,누수 0(실측),experiment_gen_expansion_g1g3/results/expansion_metrics.json
확장,Tox21,SR-ARE,G1~G3,G2,물리화학 서술자 + RandomForest,우리 학습,AUROC,True,0.7777,0.001,1056,0.2083,0.0523,,,누수 0(실측),experiment_gen_expansion_g1g3/results/expansion_metrics.json
확장,Tox21,SR-ARE,G1~G3,G2,ECFP4 지문 + XGBoost,우리 학습,AUROC,True,0.705,0.0029,1056,0.2083,0.0523,,,누수 0(실측),experiment_gen_expansion_g1g3/results/expansion_metrics.json
확장,Tox21,SR-ARE,G1~G3,G3,chemprop D-MPNN (정직),우리 학습,AUROC,True,0.7323,0.0028,1056,0.2083,0.0523,,,누수 0(train만 학습),experiment_gen_expansion_g1g3/results/expansion_metrics.json
확장,Tox21,SR-ARE,G1~G3,G3,ADMET-AI,누수 기준선,AUROC,True,0.8799,,1056,0.2083,0.0523,,,★누수 의심(TDC 전체 사전학습),experiment_gen_expansion_g1g3/results/admetai_metrics.json
확장,Tox21,SR-ATAD5,G1~G3,G1,구조알림 (BRENK+NIH + Benigni-Bossa),우리 학습(규칙),AUROC,True,,,1372,0.0445,0.0955,0.2806,0.0069,누수 없음(학습 없음),experiment_gen_expansion_g1g3/results/g1_summary.csv
확장,Tox21,SR-ATAD5,G1~G3,G2,물리화학 서술자 + XGBoost,우리 학습,AUROC,True,0.7598,0.0043,1372,0.0445,0.0955,,,누수 0(실측),experiment_gen_expansion_g1g3/results/expansion_metrics.json
확장,Tox21,SR-ATAD5,G1~G3,G2,물리화학 서술자 + RandomForest,우리 학습,AUROC,True,0.7504,0.0048,1372,0.0445,0.0955,,,누수 0(실측),experiment_gen_expansion_g1g3/results/expansion_metrics.json
확장,Tox21,SR-ATAD5,G1~G3,G2,ECFP4 지문 + XGBoost,우리 학습,AUROC,True,0.7597,0.0037,1372,0.0445,0.0955,,,누수 0(실측),experiment_gen_expansion_g1g3/results/expansion_metrics.json
확장,Tox21,SR-ATAD5,G1~G3,G3,chemprop D-MPNN (정직),우리 학습,AUROC,True,0.7573,0.0023,1372,0.0445,0.0955,,,누수 0(train만 학습),experiment_gen_expansion_g1g3/results/expansion_metrics.json
확장,Tox21,SR-ATAD5,G1~G3,G3,ADMET-AI,누수 기준선,AUROC,True,0.903,,1372,0.0445,0.0955,,,★누수 의심(TDC 전체 사전학습),experiment_gen_expansion_g1g3/results/admetai_metrics.json
확장,Tox21,SR-HSE,G1~G3,G1,구조알림 (BRENK+NIH + Benigni-Bossa),우리 학습(규칙),AUROC,True,,,1213,0.0692,0.0818,0.2803,-0.0184,누수 없음(학습 없음),experiment_gen_expansion_g1g3/results/g1_summary.csv
확장,Tox21,SR-HSE,G1~G3,G2,물리화학 서술자 + XGBoost,우리 학습,AUROC,True,0.8028,0.0074,1213,0.0692,0.0818,,,누수 0(실측),experiment_gen_expansion_g1g3/results/expansion_metrics.json
확장,Tox21,SR-HSE,G1~G3,G2,물리화학 서술자 + RandomForest,우리 학습,AUROC,True,0.8023,0.0029,1213,0.0692,0.0818,,,누수 0(실측),experiment_gen_expansion_g1g3/results/expansion_metrics.json
확장,Tox21,SR-HSE,G1~G3,G2,ECFP4 지문 + XGBoost,우리 학습,AUROC,True,0.7686,0.002,1213,0.0692,0.0818,,,누수 0(실측),experiment_gen_expansion_g1g3/results/expansion_metrics.json
확장,Tox21,SR-HSE,G1~G3,G3,chemprop D-MPNN (정직),우리 학습,AUROC,True,0.7719,0.0041,1213,0.0692,0.0818,,,누수 0(train만 학습),experiment_gen_expansion_g1g3/results/expansion_metrics.json
확장,Tox21,SR-HSE,G1~G3,G3,ADMET-AI,누수 기준선,AUROC,True,0.9075,,1213,0.0692,0.0818,,,★누수 의심(TDC 전체 사전학습),experiment_gen_expansion_g1g3/results/admetai_metrics.json
확장,Tox21,SR-MMP,G1~G3,G1,구조알림 (BRENK+NIH + Benigni-Bossa),우리 학습(규칙),AUROC,True,,,1052,0.2548,0.048,0.289,0.0315,누수 없음(학습 없음),experiment_gen_expansion_g1g3/results/g1_summary.csv
확장,Tox21,SR-MMP,G1~G3,G2,물리화학 서술자 + XGBoost,우리 학습,AUROC,True,0.9041,0.0014,1052,0.2548,0.048,,,누수 0(실측),experiment_gen_expansion_g1g3/results/expansion_metrics.json
확장,Tox21,SR-MMP,G1~G3,G2,물리화학 서술자 + RandomForest,우리 학습,AUROC,True,0.8912,0.0012,1052,0.2548,0.048,,,누수 0(실측),experiment_gen_expansion_g1g3/results/expansion_metrics.json
확장,Tox21,SR-MMP,G1~G3,G2,ECFP4 지문 + XGBoost,우리 학습,AUROC,True,0.832,0.0018,1052,0.2548,0.048,,,누수 0(실측),experiment_gen_expansion_g1g3/results/expansion_metrics.json
